last_name,first_name,email,house
Liu,Albert,albert@gmail.com,CLO
Tan,Andrei,andrei@gmail.com,CLO
Goel,Kabir,kabir@gmail.com,CLO
Messele,Danashi,danashi@gmail.com,CLO
Wu,Elizabeth,elizabeth@gmail.com,CLO
Auyeung,Ethan,ethan@gmail.com,CLO
Millensifer,Gregoria,gergoria@gmail.com,CLO
Keating,Jared,jared@gmail.com,CLO
Nguyen,Katy,katy@gmail.com,CLO
Chi,Kenny,kenny@gmail.com,CLO
Hernandez,Noah,noah@gmail.com,CLO
Jain,Sauhard,sauhard@gmail.com,CLO
Howard-Jimenez,Sofia,sofia@gmail.com,CLO
Rao,Suraj,suraj@gmail.com,CLO
