lastName,firstName,email,house
Thakur,Akshay,akshay@gmail.com,EUC
Ortiz,Alvaro,alvaro@gmail.com,EUC
Thirunarayanan,Anu,anu@gmail.com,EUC
Ming,Charles,charles@gmail.com,EUC
Qing,David,david@gmail.com,EUC
idk,Esther,esther@gmail.com,EUC
Oloye,Folasade,folasade@gmail.com,EUC
Kim,Jacob,jacob@gmail.com,EUC
idk,Jenny,jenny@gmail.com,EUC
Martinez,Kenneth,kenneth@gmail.com,EUC
Bhaskaran,Miha,miha@gmail.com,EUC
idk,Sarah,sarah@gmail.com,EUC
Bonet,Shannon,shannon@gmail.com,EUC
Huang,Steven,steven@gmail.com,EUC
Bonet2,Shannon,shannon2@gmail.com,EUC
